image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,5,0.814896,van,bus,False
drive_022,2,4,0.713332,car,car,True
drive_022,3,3,0.613094,car,car,True
drive_022,4,2,0.910481,bus,van,False
drive_022,5,1,0.700382,car,car,True
drive_033,1,4,0.828735,car,car,True
drive_033,2,11,0.887346,bus,car,False
drive_033,3,8,0.901661,car,car,True
drive_033,4,10,0.912486,car,car,True
drive_033,5,6,0.833102,car,car,True
drive_033,7,7,0.911104,car,car,True
drive_033,8,3,0.90107,car,car,True
drive_033,9,5,0.932658,car,car,True
drive_033,10,2,0.738194,truck,bus,False
drive_033,11,1,0.977512,bus,van,False
drive_033,16,9,0.848875,car,car,True
drive_033,27,12,0.890162,car,van,False
drive_038,1,11,0.762264,car,car,True
drive_038,2,10,0.840245,car,car,True
drive_038,3,12,0.829498,car,car,True
drive_038,11,4,0.87613,car,car,True
drive_038,13,17,0.950247,car,car,True
drive_038,14,9,0.883143,car,bus,False
drive_038,15,5,0.852595,van,bus,False
drive_038,16,3,0.900672,car,car,True
drive_038,17,2,0.887214,car,car,True
drive_038,18,1,0.879511,car,car,True
drive_038,19,15,0.860254,truck,truck,True
drive_038,20,14,0.799245,car,car,True
drive_038,21,16,0.814074,car,car,True
drive_038,23,6,0.835599,car,car,True
drive_038,24,7,0.827187,car,car,True
drive_038,25,8,0.853403,car,car,True
drive_038,26,13,0.848904,car,car,True
drive_008,1,6,0.899993,car,car,True
drive_008,2,3,0.902654,van,truck,False
drive_008,3,5,0.841908,van,truck,False
drive_008,6,2,0.902993,car,car,True
drive_008,8,1,0.861389,truck,bus,False
drive_008,9,9,0.97979,bus,van,False
drive_008,11,15,0.162738,car,car,True
drive_008,18,11,0.934422,car,car,True
drive_008,19,16,0.942201,car,car,True
drive_008,22,7,0.833352,car,car,True
drive_008,25,14,0.83021,car,car,True
drive_008,26,13,0.652419,car,car,True
drive_008,28,4,0.91577,car,car,True
drive_008,29,12,0.858367,van,truck,False
